"","police_call_crime","police_call_address_display","police_call_date","block","street","address","longitude","latitude"
"2269","Larceny","100  Hastings Pl","7/29/2016",100,"HASTINGS PL","100  HASTINGS PL ",-76.1179592568597,43.0673361087495
"2270","Larceny","100  Hastings Pl","7/29/2016",100,"HASTINGS PL","100  HASTINGS PL ",-76.1179592568597,43.0673361087495
"2271","Larceny","100  Hastings Pl","7/29/2016",100,"HASTINGS PL","100  HASTINGS PL ",-76.1179592568597,43.0673361087495
"2272","Larceny","100  Steuben St","7/29/2016",100,"STEUBEN ST","100  STEUBEN ST ",-76.1519742466533,43.0653040272821
"2273","Larceny","1000  Canal St","7/29/2016",1000,"CANAL ST","1000  CANAL ST ",-76.1250921682421,43.0515557140483
"2274","Larceny","1600  Burnet Av","7/29/2016",1600,"BURNET AVE","1600  BURNET AV ",-76.1157104550335,43.0559982814581
"2275","Larceny","2500  Erie Blvd E","7/29/2016",2500,"ERIE BLVD E","2500  ERIE BLVD E ",-76.1040887365649,43.0535201241854
"2276","Larceny","2500  Erie Blvd E","7/29/2016",2500,"ERIE BLVD E","2500  ERIE BLVD E ",-76.1040887365649,43.0535201241854
"2277","Larceny","300  W  Seneca Tpke","7/29/2016",300,"W SENECA TPKE","300  W  SENECA TPKE ",-76.1506972162168,43.0017327651077
"2278","Larceny","4100  S  Salina St","7/29/2016",4100,"S SALINA ST","4100  S  SALINA ST ",-76.1425438631157,43.0088377895103
"2279","Larceny","700  Clarendon St","7/29/2016",700,"CLARENDON ST","700  CLARENDON ST ",-76.12007188101,43.038522817159
"2280","Robbery","600  Butternut St","7/29/2016",600,"BUTTERNUT ST","600  BUTTERNUT ST ",-76.1469777874171,43.0598741166888
"2281","Aggravated assault","300  Green St","7/28/2016",300,"GREEN ST","300  GREEN ST ",-76.1382372859744,43.0551729528181
"2282","Larceny","200  Hawley Av","7/28/2016",200,"HAWLEY AVE","200  HAWLEY AV ",-76.1437891338263,43.0533442252727
"2284","Larceny","300  Seymour St","7/28/2016",300,"SEYMOUR ST","300  SEYMOUR ST ",-76.1603902753616,43.0424384642626
"2285","Larceny","4700  Onondaga Blvd","7/28/2016",4700,"ONONDAGA BLVD","4700  ONONDAGA BLVD ",-76.193647069205,43.0323248226591
"2286","Larceny","600  Butternut St","7/28/2016",600,"BUTTERNUT ST","600  BUTTERNUT ST ",-76.1469777874171,43.0598741166888
